('3', '4', '+', '6', '+', '1', '+')  =  14
('3', '4', '+', '6', '1', '+', '+')  =  14
('3', '4', '+', '6', '1', '+', '+')  =  14
('3', '4', '1', '+', '+', '6', '+')  =  14
('3', '4', '1', '+', '+', '6', '+')  =  14
('3', '4', '1', '+', '6', '+', '+')  =  14
('3', '4', '1', '+', '6', '+', '+')  =  14
('3', '4', '1', '+', '+', '6', '+')  =  14
('3', '4', '1', '+', '+', '6', '+')  =  14
('3', '4', '1', '+', '6', '+', '+')  =  14
('3', '4', '1', '+', '6', '+', '+')  =  14
('3', '4', '1', '+', '+', '6', '+')  =  14
('3', '4', '1', '+', '+', '6', '+')  =  14
('3', '4', '1', '+', '6', '+', '+')  =  14
('3', '4', '1', '+', '6', '+', '+')  =  14
('3', '4', '1', '6', '+', '+', '+')  =  14
('3', '4', '1', '6', '+', '+', '+')  =  14
('3', '4', '1', '6', '+', '+', '+')  =  14
('3', '4', '1', '6', '+', '+', '+')  =  14
('3', '4', '1', '6', '+', '+', '+')  =  14
('3', '4', '1', '6', '+', '+', '+')  =  14
('3', '4', '6', '+', '+', '1', '+')  =  14
('3', '4', '6', '+', '+', '1', '+')  =  14
('3', '4', '6', '+', '1', '+', '+')  =  14
('3', '4', '6', '+', '1', '+', '+')  =  14
('3', '4', '6', '+', '+', '1', '+')  =  14
('3', '4', '6', '+', '+', '1', '+')  =  14
('3', '4', '6', '+', '1', '+', '+')  =  14
('3', '4', '6', '+', '1', '+', '+')  =  14
('3', '4', '6', '+', '+', '1', '+')  =  14
('3', '4', '6', '+', '+', '1', '+')  =  14
('3', '4', '6', '+', '1', '+', '+')  =  14
('3', '4', '6', '+', '1', '+', '+')  =  14
('3', '4', '6', '1', '+', '+', '+')  =  14
('3', '4', '6', '1', '+', '+', '+')  =  14
('3', '4', '6', '1', '+', '+', '+')  =  14
('3', '4', '6', '1', '+', '+', '+')  =  14
('3', '4', '6', '1', '+', '+', '+')  =  14
('3', '4', '6', '1', '+', '+', '+')  =  14
('3', '6', '+', '1', '+', '4', '+')  =  14
('3', '6', '+', '1', '+', '4', '+')  =  14
('3', '6', '+', '1', '4', '+', '+')  =  14
('3', '6', '+', '1', '4', '+', '+')  =  14
('3', '6', '+', '4', '+', '1', '+')  =  14
('3', '6', '+', '4', '+', '1', '+')  =  14
('3', '6', '+', '4', '1', '+', '+')  =  14
('3', '6', '+', '4', '1', '+', '+')  =  14
('3', '6', '+', '1', '+', '4', '+')  =  14
('3', '6', '+', '1', '+', '4', '+')  =  14
('3', '6', '+', '1', '4', '+', '+')  =  14
('3', '6', '+', '1', '4', '+', '+')  =  14
('3', '6', '+', '4', '+', '1', '+')  =  14
('3', '6', '+', '4', '+', '1', '+')  =  14
('3', '6', '+', '4', '1', '+', '+')  =  14
('3', '6', '+', '4', '1', '+', '+')  =  14
('3', '6', '+', '1', '+', '4', '+')  =  14
('3', '6', '+', '1', '+', '4', '+')  =  14
('3', '6', '+', '1', '4', '+', '+')  =  14
('3', '6', '+', '1', '4', '+', '+')  =  14
('3', '6', '+', '4', '+', '1', '+')  =  14
('3', '6', '+', '4', '+', '1', '+')  =  14
('3', '6', '+', '4', '1', '+', '+')  =  14
('3', '6', '+', '4', '1', '+', '+')  =  14
('3', '6', '1', '+', '+', '4', '+')  =  14
('3', '6', '1', '+', '+', '4', '+')  =  14
('3', '6', '1', '+', '4', '+', '+')  =  14
('3', '6', '1', '+', '4', '+', '+')  =  14
('3', '6', '1', '+', '+', '4', '+')  =  14
('3', '6', '1', '+', '+', '4', '+')  =  14
('3', '6', '1', '+', '4', '+', '+')  =  14
('3', '6', '1', '+', '4', '+', '+')  =  14
('3', '6', '1', '+', '+', '4', '+')  =  14
('3', '6', '1', '+', '+', '4', '+')  =  14
('3', '6', '1', '+', '4', '+', '+')  =  14
('3', '6', '1', '+', '4', '+', '+')  =  14
('3', '6', '1', '4', '+', '+', '+')  =  14
('3', '6', '1', '4', '+', '+', '+')  =  14
('3', '6', '1', '4', '+', '+', '+')  =  14
('3', '6', '1', '4', '+', '+', '+')  =  14
('3', '6', '1', '4', '+', '+', '+')  =  14
('3', '6', '1', '4', '+', '+', '+')  =  14
('3', '6', '4', '+', '+', '1', '+')  =  14
('3', '6', '4', '+', '+', '1', '+')  =  14
('3', '6', '4', '+', '1', '+', '+')  =  14
('3', '6', '4', '+', '1', '+', '+')  =  14
('3', '6', '4', '+', '+', '1', '+')  =  14
('3', '6', '4', '+', '+', '1', '+')  =  14
('3', '6', '4', '+', '1', '+', '+')  =  14
('3', '6', '4', '+', '1', '+', '+')  =  14
('3', '6', '4', '+', '+', '1', '+')  =  14
('3', '6', '4', '+', '+', '1', '+')  =  14
('3', '6', '4', '+', '1', '+', '+')  =  14
('3', '6', '4', '+', '1', '+', '+')  =  14
('3', '6', '4', '1', '+', '+', '+')  =  14
('3', '6', '4', '1', '+', '+', '+')  =  14
('3', '6', '4', '1', '+', '+', '+')  =  14
('3', '6', '4', '1', '+', '+', '+')  =  14
('3', '6', '4', '1', '+', '+', '+')  =  14
('3', '6', '4', '1', '+', '+', '+')  =  14
('4', '1', '+', '3', '+', '6', '+')  =  14
('4', '1', '+', '3', '+', '6', '+')  =  14
('4', '1', '+', '3', '6', '+', '+')  =  14
('4', '1', '+', '3', '6', '+', '+')  =  14
('4', '1', '+', '6', '+', '3', '+')  =  14
('4', '1', '+', '6', '+', '3', '+')  =  14
('4', '1', '+', '6', '3', '+', '+')  =  14
('4', '1', '+', '6', '3', '+', '+')  =  14
('4', '1', '+', '3', '+', '6', '+')  =  14
('4', '1', '+', '3', '+', '6', '+')  =  14
('4', '1', '+', '3', '6', '+', '+')  =  14
('4', '1', '+', '3', '6', '+', '+')  =  14
('4', '1', '+', '6', '+', '3', '+')  =  14
('4', '1', '+', '6', '+', '3', '+')  =  14
('4', '1', '+', '6', '3', '+', '+')  =  14
('4', '1', '+', '6', '3', '+', '+')  =  14
('4', '1', '+', '3', '+', '6', '+')  =  14
('4', '1', '+', '3', '+', '6', '+')  =  14
('4', '1', '+', '3', '6', '+', '+')  =  14
('4', '1', '+', '3', '6', '+', '+')  =  14
('4', '1', '+', '6', '+', '3', '+')  =  14
('4', '1', '+', '6', '+', '3', '+')  =  14
('4', '1', '+', '6', '3', '+', '+')  =  14
('4', '1', '+', '6', '3', '+', '+')  =  14
('4', '1', '3', '+', '+', '6', '+')  =  14
('4', '1', '3', '+', '+', '6', '+')  =  14
('4', '1', '3', '+', '6', '+', '+')  =  14
('4', '1', '3', '+', '6', '+', '+')  =  14
('4', '1', '3', '+', '+', '6', '+')  =  14
('4', '1', '3', '+', '+', '6', '+')  =  14
('4', '1', '3', '+', '6', '+', '+')  =  14
('4', '1', '3', '+', '6', '+', '+')  =  14
('4', '1', '3', '+', '+', '6', '+')  =  14
('4', '1', '3', '+', '+', '6', '+')  =  14
('4', '1', '3', '+', '6', '+', '+')  =  14
('4', '1', '3', '+', '6', '+', '+')  =  14
('4', '1', '3', '6', '+', '+', '+')  =  14
('4', '1', '3', '6', '+', '+', '+')  =  14
('4', '1', '3', '6', '+', '+', '+')  =  14
('4', '1', '3', '6', '+', '+', '+')  =  14
('4', '1', '3', '6', '+', '+', '+')  =  14
('4', '1', '3', '6', '+', '+', '+')  =  14
('4', '1', '6', '+', '+', '3', '+')  =  14
('4', '1', '6', '+', '+', '3', '+')  =  14
('4', '1', '6', '+', '3', '+', '+')  =  14
('4', '1', '6', '+', '3', '+', '+')  =  14
('4', '1', '6', '+', '+', '3', '+')  =  14
('4', '1', '6', '+', '+', '3', '+')  =  14
('4', '1', '6', '+', '3', '+', '+')  =  14
('4', '1', '6', '+', '3', '+', '+')  =  14
('4', '1', '6', '+', '+', '3', '+')  =  14
('4', '1', '6', '+', '+', '3', '+')  =  14
('4', '1', '6', '+', '3', '+', '+')  =  14
('4', '1', '6', '+', '3', '+', '+')  =  14
('4', '1', '6', '3', '+', '+', '+')  =  14
('4', '1', '6', '3', '+', '+', '+')  =  14
('4', '1', '6', '3', '+', '+', '+')  =  14
('4', '1', '6', '3', '+', '+', '+')  =  14
('4', '1', '6', '3', '+', '+', '+')  =  14
('4', '1', '6', '3', '+', '+', '+')  =  14
('4', '3', '+', '1', '+', '6', '+')  =  14
('4', '3', '+', '1', '+', '6', '+')  =  14
('4', '3', '+', '1', '6', '+', '+')  =  14
('4', '3', '+', '1', '6', '+', '+')  =  14
('4', '3', '+', '6', '+', '1', '+')  =  14
('4', '3', '+', '6', '+', '1', '+')  =  14
('4', '3', '+', '6', '1', '+', '+')  =  14
('4', '3', '+', '6', '1', '+', '+')  =  14
('4', '3', '+', '1', '+', '6', '+')  =  14
('4', '3', '+', '1', '+', '6', '+')  =  14
('4', '3', '+', '1', '6', '+', '+')  =  14
('4', '3', '+', '1', '6', '+', '+')  =  14
('4', '3', '+', '6', '+', '1', '+')  =  14
('4', '3', '+', '6', '+', '1', '+')  =  14
('4', '3', '+', '6', '1', '+', '+')  =  14
('4', '3', '+', '6', '1', '+', '+')  =  14
('4', '3', '+', '1', '+', '6', '+')  =  14
('4', '3', '+', '1', '+', '6', '+')  =  14
('4', '3', '+', '1', '6', '+', '+')  =  14
('4', '3', '+', '1', '6', '+', '+')  =  14
('4', '3', '+', '6', '+', '1', '+')  =  14
('4', '3', '+', '6', '+', '1', '+')  =  14
('4', '3', '+', '6', '1', '+', '+')  =  14
('4', '3', '+', '6', '1', '+', '+')  =  14
('4', '3', '1', '+', '+', '6', '+')  =  14
('4', '3', '1', '+', '+', '6', '+')  =  14
('4', '3', '1', '+', '6', '+', '+')  =  14
('4', '3', '1', '+', '6', '+', '+')  =  14
('4', '3', '1', '+', '+', '6', '+')  =  14
('4', '3', '1', '+', '+', '6', '+')  =  14
('4', '3', '1', '+', '6', '+', '+')  =  14
('4', '3', '1', '+', '6', '+', '+')  =  14
('4', '3', '1', '+', '+', '6', '+')  =  14
('4', '3', '1', '+', '+', '6', '+')  =  14
('4', '3', '1', '+', '6', '+', '+')  =  14
('4', '3', '1', '+', '6', '+', '+')  =  14
('4', '3', '1', '6', '+', '+', '+')  =  14
('4', '3', '1', '6', '+', '+', '+')  =  14
('4', '3', '1', '6', '+', '+', '+')  =  14
('4', '3', '1', '6', '+', '+', '+')  =  14
('4', '3', '1', '6', '+', '+', '+')  =  14
('4', '3', '1', '6', '+', '+', '+')  =  14
('4', '3', '6', '+', '+', '1', '+')  =  14
('4', '3', '6', '+', '+', '1', '+')  =  14
('4', '3', '6', '+', '1', '+', '+')  =  14
('4', '3', '6', '+', '1', '+', '+')  =  14
('4', '3', '6', '+', '+', '1', '+')  =  14
('4', '3', '6', '+', '+', '1', '+')  =  14
('4', '3', '6', '+', '1', '+', '+')  =  14
('4', '3', '6', '+', '1', '+', '+')  =  14
('4', '3', '6', '+', '+', '1', '+')  =  14
('4', '3', '6', '+', '+', '1', '+')  =  14
('4', '3', '6', '+', '1', '+', '+')  =  14
('4', '3', '6', '+', '1', '+', '+')  =  14
('4', '3', '6', '1', '+', '+', '+')  =  14
('4', '3', '6', '1', '+', '+', '+')  =  14
('4', '3', '6', '1', '+', '+', '+')  =  14
('4', '3', '6', '1', '+', '+', '+')  =  14
('4', '3', '6', '1', '+', '+', '+')  =  14
('4', '3', '6', '1', '+', '+', '+')  =  14
('4', '6', '+', '1', '+', '3', '+')  =  14
('4', '6', '+', '1', '+', '3', '+')  =  14
('4', '6', '+', '1', '3', '+', '+')  =  14
('4', '6', '+', '1', '3', '+', '+')  =  14
('4', '6', '+', '3', '+', '1', '+')  =  14
('4', '6', '+', '3', '+', '1', '+')  =  14
('4', '6', '+', '3', '1', '+', '+')  =  14
('4', '6', '+', '3', '1', '+', '+')  =  14
('4', '6', '+', '1', '+', '3', '+')  =  14
('4', '6', '+', '1', '+', '3', '+')  =  14
('4', '6', '+', '1', '3', '+', '+')  =  14
('4', '6', '+', '1', '3', '+', '+')  =  14
('4', '6', '+', '3', '+', '1', '+')  =  14
('4', '6', '+', '3', '+', '1', '+')  =  14
('4', '6', '+', '3', '1', '+', '+')  =  14
('4', '6', '+', '3', '1', '+', '+')  =  14
('4', '6', '+', '1', '+', '3', '+')  =  14
('4', '6', '+', '1', '+', '3', '+')  =  14
('4', '6', '+', '1', '3', '+', '+')  =  14
('4', '6', '+', '1', '3', '+', '+')  =  14
('4', '6', '+', '3', '+', '1', '+')  =  14
('4', '6', '+', '3', '+', '1', '+')  =  14
('4', '6', '+', '3', '1', '+', '+')  =  14
('4', '6', '+', '3', '1', '+', '+')  =  14
('4', '6', '1', '+', '+', '3', '+')  =  14
('4', '6', '1', '+', '+', '3', '+')  =  14
('4', '6', '1', '+', '3', '+', '+')  =  14
('4', '6', '1', '+', '3', '+', '+')  =  14
('4', '6', '1', '+', '+', '3', '+')  =  14
('4', '6', '1', '+', '+', '3', '+')  =  14
('4', '6', '1', '+', '3', '+', '+')  =  14
('4', '6', '1', '+', '3', '+', '+')  =  14
('4', '6', '1', '+', '+', '3', '+')  =  14
('4', '6', '1', '+', '+', '3', '+')  =  14
('4', '6', '1', '+', '3', '+', '+')  =  14
('4', '6', '1', '+', '3', '+', '+')  =  14
('4', '6', '1', '3', '+', '+', '+')  =  14
('4', '6', '1', '3', '+', '+', '+')  =  14
('4', '6', '1', '3', '+', '+', '+')  =  14
('4', '6', '1', '3', '+', '+', '+')  =  14
('4', '6', '1', '3', '+', '+', '+')  =  14
('4', '6', '1', '3', '+', '+', '+')  =  14
('4', '6', '3', '+', '+', '1', '+')  =  14
('4', '6', '3', '+', '+', '1', '+')  =  14
('4', '6', '3', '+', '1', '+', '+')  =  14
('4', '6', '3', '+', '1', '+', '+')  =  14
('4', '6', '3', '+', '+', '1', '+')  =  14
('4', '6', '3', '+', '+', '1', '+')  =  14
('4', '6', '3', '+', '1', '+', '+')  =  14
('4', '6', '3', '+', '1', '+', '+')  =  14
('4', '6', '3', '+', '+', '1', '+')  =  14
('4', '6', '3', '+', '+', '1', '+')  =  14
('4', '6', '3', '+', '1', '+', '+')  =  14
('4', '6', '3', '+', '1', '+', '+')  =  14
('4', '6', '3', '1', '+', '+', '+')  =  14
('4', '6', '3', '1', '+', '+', '+')  =  14
('4', '6', '3', '1', '+', '+', '+')  =  14
('4', '6', '3', '1', '+', '+', '+')  =  14
